Date,Open,High,Low,Close,Adj Close,Volume
2006-08-29,280.000000,283.225006,278.512512,279.174988,225.322098,4308440
2006-08-30,276.750000,283.737488,276.750000,282.312500,227.854355,4845052
2006-08-31,286.225006,286.225006,278.149994,279.399994,225.503647,5512392
2006-09-01,279.250000,282.000000,279.250000,280.537506,226.421722,3297316
2006-09-04,277.812500,284.212494,277.812500,282.750000,228.207443,3163040
2006-09-05,282.500000,283.250000,279.950012,281.325012,227.057358,2858400
2006-09-06,281.250000,286.487488,281.250000,284.337494,229.488754,4848156
2006-09-07,283.250000,283.600006,280.399994,281.387512,227.107788,4650600
2006-09-08,282.187500,283.600006,278.100006,282.587494,228.076248,5438200
2006-09-11,283.174988,283.250000,270.375000,271.912506,219.460526,8644720
2006-09-12,272.450012,277.450012,268.799988,276.687500,223.314377,8607108
2006-09-13,277.562500,281.450012,277.562500,279.087494,225.251465,7565180
2006-09-14,280.500000,284.012512,278.862488,281.487488,227.188477,5064284
2006-09-15,283.750000,285.924988,278.750000,285.125000,230.124329,5003148
2006-09-18,297.000000,297.000000,282.049988,283.012512,228.419327,5295500
2006-09-19,271.312500,286.237488,271.312500,279.587494,225.654953,5616644
2006-09-20,272.500000,282.649994,272.500000,281.825012,227.460846,4920144
2006-09-21,281.787506,285.875000,281.787506,284.562500,229.670303,5231808
2006-09-22,283.750000,289.462494,281.750000,288.799988,233.090378,7908208
2006-09-25,287.750000,293.750000,287.750000,290.912506,234.795425,7095268
2006-09-26,290.750000,294.987488,290.750000,294.575012,237.751434,5732876
2006-09-27,296.000000,297.475006,292.887512,293.762512,237.095627,3659960
2006-09-28,294.862488,295.500000,290.812500,292.012512,235.683228,5001104
2006-09-29,293.000000,294.500000,292.287506,292.762512,236.288528,3140752
2006-10-03,297.000000,297.000000,290.000000,290.337494,234.331314,2070600
2006-10-04,286.850006,293.500000,286.049988,287.337494,231.910034,6892648
2006-10-05,289.500000,291.075012,287.812500,288.762512,233.060135,4637732
2006-10-06,289.500000,293.500000,288.137512,290.762512,234.674332,4421340
2006-10-09,288.750000,291.674988,288.000000,288.524994,232.868423,2257912
2006-10-10,289.000000,291.187500,286.750000,287.537506,232.071472,2080608
2006-10-11,289.975006,290.450012,284.537506,285.799988,230.669098,4942700
2006-10-12,289.462494,293.424988,285.875000,292.375000,235.975784,6634972
2006-10-13,293.750000,298.987488,293.412506,297.537506,240.142426,7015520
2006-10-16,299.500000,304.687500,298.312500,303.350006,244.833679,6374260
